Channel URL,Video URL,Views,Year,Quarter,Month,Day
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=dAZvz4_eA,104,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=DkLKr2B5Q,47,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=DxdH73U40,18,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=f23id9Uow,62,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=Fkpbh7wJo,48,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=fwLpP5Zn0,48,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=G2gi08reA,1043219,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=G9Bow4czI,309368,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=GSLin7uE4,28,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=ie0gv9duI,10355,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=iqrwz8Ok8,53,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=iyAsj10MY,2566,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=jlJlF7mGk,242,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=lTV032Xpc,100,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=mZjQn6eqY,105,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=n3jDU5ZDY,47,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=n4mzm7ZRY,30,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=oBwDe9b2s,79,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=OH8QA5Os8,1407581,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=PzKUN1i48,9657,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=qQopg1Dbs,613,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=R5iDn3_GM,636,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=RdCIV4R8Y,99,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=RDP3J4fM8,460,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=RM8Gq4rYA,55,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=RZGZD69Dg,28,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=t7D0O3a0k,517454,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=TfogX8l2o,885086,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=tqykG5GHY,144,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=UaUnF7X5w,108,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=ufcJ67R30,115,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=UMyBK7Rv8,259,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=UsqOt41jg,1392,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=UWD6o8tpw,1777,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=VWjtM4Zn4,36,2021,Qtr 1,March,10
youtube.com/channel/UC1DMjWdZe6PuDnfcs65_bUl2,youtube.com/watch?v=vyBYT8RWA,810145,2021,Qtr 1,March,10
